index;name;pop;avg_age
8105;Frenštát pod Radhoštěm;19509;42.2
8106;Frýdek-Místek;112033;42.2
8107;Frýdlant nad Ostravicí;24909;42.9
8108;Havířov;87096;43.7
8109;Hlučín;40603;42.5
8110;Jablunkov;22703;41.1
8111;Karviná;64316;44.0
8112;Kopřivnice;40763;42.2
8113;Kravaře;21315;41.2
8114;Krnov;40113;43.3
8115;Nový Jičín;48907;41.8
8116;Odry;16881;42.0
8117;Opava;101006;42.6
8118;Orlová;37255;42.2
8119;Ostrava;321273;42.7
8120;Rýmařov;15338;44.1
8121;Třinec;54542;42.8
8122;Vítkov;13330;42.7
